Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2012-10-17,PearceRAAF,10.4,23.5,0.0,,10.7,SW,37.0,S,WSW,13.0,24.0,65.0,45.0,1016.0,1013.7,3.0,3.0,18.5,21.3,No,No
2016-03-28,Newcastle,18.6,29.0,0.0,,,,,,,0.0,,82.0,,,,1.0,,22.0,,No,No
2016-10-23,MelbourneAirport,5.7,13.2,24.8,5.6,6.0,SSE,48.0,SSW,S,19.0,24.0,85.0,53.0,1026.0,1025.3,7.0,7.0,8.6,12.2,Yes,No
2016-08-07,Woomera,5.2,21.4,0.0,4.4,,N,44.0,NNE,N,20.0,26.0,49.0,21.0,1023.2,1020.0,0.0,0.0,11.3,20.7,No,No
2009-11-18,Richmond,15.0,30.3,0.2,4.0,,ENE,35.0,WNW,NE,6.0,15.0,61.0,36.0,1012.7,1008.3,,,20.9,30.0,No,No
2012-04-02,Watsonia,8.5,25.0,0.0,2.6,9.7,NE,44.0,NE,N,7.0,19.0,82.0,42.0,1016.6,1012.1,1.0,7.0,14.2,23.4,No,No
2014-10-02,BadgerysCreek,4.8,24.4,0.0,,,WNW,22.0,N,NNE,7.0,9.0,54.0,28.0,1021.9,1016.4,,,16.0,23.7,No,No
2016-02-10,Katherine,25.4,36.9,0.0,6.4,,SSW,48.0,W,SSW,17.0,22.0,75.0,,1008.0,1003.1,1.0,,29.5,,No,Yes
2009-05-26,Launceston,11.9,16.5,6.6,2.2,,N,44.0,NW,NNW,7.0,22.0,92.0,68.0,1016.4,1015.8,,,13.6,14.9,Yes,No
2017-01-09,Albury,21.3,30.7,0.0,,,WSW,33.0,ESE,,6.0,0.0,61.0,86.0,1009.7,1011.3,,8.0,26.4,22.8,No,Yes
2013-01-17,Cobar,27.4,43.0,0.0,11.6,,NNW,37.0,NNW,NW,22.0,11.0,30.0,18.0,1008.1,1004.7,0.0,5.0,34.1,40.0,No,No
2015-08-29,Penrith,6.0,20.5,0.0,,,W,22.0,,NW,0.0,2.0,76.0,33.0,,,,,10.6,20.0,No,No
2013-03-14,MountGinini,11.1,20.1,0.2,,,NW,37.0,NNW,WNW,9.0,13.0,84.0,68.0,,,,,14.9,19.2,No,No
2012-11-13,Cairns,21.2,29.8,3.6,6.6,5.4,SSE,54.0,SE,SE,26.0,35.0,71.0,52.0,1015.8,1013.1,5.0,7.0,25.5,27.5,Yes,Yes
